15 15 1 46
F 3 0 11 3
F 3 0 7 1
F 3 0 0 12
W 9 0 1 9
W 9 0 10 3
W 9 0 0 4
H 5 0 11 12
A 4 0 8 12
S 4 0 4 11
A 7 0 13 4
S 4 0 8 13
S 4 0 5 11
T 2 0 6 4
T 2 0 13 10
T 2 0 13 9
B 10 0 8 5
G 0 0 11 0
+ 0 0 3 8
U 0 0 10 9
R 99 0 2 2
B 10 0 7 8
G 0 0 1 5
U 0 0 2 8
R 99 0 9 14
B 10 0 3 12
G 0 0 9 9
+ 0 0 8 10
U 0 0 14 12
R 99 0 8 9
B 10 0 8 4
G 0 0 12 0
U 0 0 10 10
U 0 0 11 9
R 99 0 1 2
B 10 0 7 9
G 0 0 1 6
U 0 0 1 8
U 0 0 2 9
U 0 0 2 7
R 99 0 9 13
B 10 0 3 13
G 0 0 9 8
U 0 0 14 11
U 0 0 13 12
U 0 0 14 13
R 99 0 8 8
